RequirementID,RequirementText,UserStoryID,EpicID,SpecID,DatabaseTable,DatabaseField,CodeModule,CodeFunction,TestID,AgentResponsible,DemoEvidence
FR-1.1,User can upload enterprise documents (PDF/DOCX/PPTX/XLSX/EML),US-1.1,EPIC-1,api_specifications.yaml#/api/documents/upload,documents,document_id + file_path + file_type,app/api/routes/documents.py,upload_document(),"T001,T002,T003,T004,T005,T006",Document Analyzer Agent,docs/demo_01.mp4
FR-1.2,System automatically indexes documents (text/table/OCR extraction),US-1.2,EPIC-1,workflow_state_machines.yaml#DocumentIndexingWorkflow,documents + document_chunks + embeddings,status + chunk_text + chroma_vector_id,app/rag/loaders/* + chunker.py + embedder.py,index_document() + generate_embeddings(),"T039,T010",Document Analyzer Agent,docs/demo_02.mp4
FR-1.3,User can view upload history and document status,US-1.3,EPIC-1,screen_behavior.md#DocumentManager,documents,status + upload_date,app/api/routes/documents.py,get_document_list(),T011,-,docs/demo_02.mp4
FR-1.4,System extracts document metadata,US-1.1,EPIC-1,data_models.yaml#Document,documents,metadata (JSON),app/rag/loaders/*,extract_metadata(),"T001,T002,T003,T004,T005",Document Analyzer Agent,docs/demo_01.mp4
FR-2.1,User can search using natural language,US-2.1,EPIC-2,api_specifications.yaml#/api/chat,embeddings,chroma_vector_id,app/rag/retriever.py,retrieve_relevant_chunks(),T023,Knowledge Retriever Agent,docs/demo_03.mp4
FR-2.2,System retrieves top-K relevant chunks,US-2.1,EPIC-2,data_flow_diagram.md#Query-Retrieval-Flow,document_chunks,chunk_text,app/rag/retriever.py,retrieve_relevant_chunks(),T023,Knowledge Retriever Agent,docs/demo_03.mp4
FR-2.3,System ranks results by relevance,US-2.2,EPIC-2,screen_behavior.md#Query-Search,-,-,app/rag/retriever.py,rank_by_similarity(),T023,Knowledge Retriever Agent,docs/demo_03.mp4
FR-2.4,System returns source citations,US-2.3,EPIC-2,api_specifications.yaml#/api/chat,chat_messages,sources (JSON),app/services/chat_service.py,format_response_with_citations(),T016,Knowledge Retriever Agent,docs/demo_04.mp4
FR-3.1,System identifies contradictory information,US-3.1,EPIC-3,workflow_state_machines.yaml#ConflictLifecycle,conflicts,conflict_description + source_documents,app/agents/conflict_detector_agent.py,detect_conflicts(),T026,Conflict Detector Agent,docs/demo_05.mp4
FR-3.2,System highlights conflicting sections,US-3.1,EPIC-3,screen_behavior.md#ConflictDetection,conflicts,source_documents,app/agents/conflict_detector_agent.py,detect_conflicts(),T027,Conflict Detector Agent,docs/demo_05.mp4
FR-3.3,System suggests resolution strategies,US-3.2,EPIC-3,api_specifications.yaml#/api/conflicts,conflicts,resolution_notes,app/agents/conflict_detector_agent.py,suggest_resolution(),T029,Conflict Detector Agent,docs/demo_05.mp4
FR-4.1,System generates concise summaries,US-4.1,EPIC-4,api_specifications.yaml#/api/chat,chat_messages,message_text,app/agents/summarization_agent.py,generate_summary(),T030,Summarization Agent,docs/demo_06.mp4
FR-4.2,System provides AI recommendations with confidence scores,US-4.2,EPIC-4,data_models.yaml#Recommendation,recommendations,recommendation_text + confidence_score,app/agents/recommendation_agent.py,generate_recommendations(),T030,Recommendation Agent,docs/demo_07.mp4
FR-4.3,System suggests next steps,US-4.2,EPIC-4,api_specifications.yaml#/api/recommendations,recommendations,recommendation_text,app/agents/recommendation_agent.py,generate_recommendations(),T030,Recommendation Agent,docs/demo_07.mp4
FR-4.4,System generates executive summaries on request,US-4.1,EPIC-4,api_specifications.yaml#/api/chat,chat_messages,message_text,app/agents/summarization_agent.py,generate_executive_summary(),T030,Summarization Agent,docs/demo_06.mp4
FR-5.1,Multi-turn conversation support,US-5.1,EPIC-5,workflow_state_machines.yaml#ConversationLifecycle,conversation_histories + chat_messages,conversation_id,app/services/chat_service.py,load_conversation_context(),T015,Supervisor Agent,docs/demo_08.mp4
FR-5.2,Conversation context retention,US-5.1,EPIC-5,screen_behavior.md#ChatInterface,chat_messages,message_text,app/services/chat_service.py,load_conversation_context(),T015,Supervisor Agent,docs/demo_08.mp4
FR-5.3,Conversation history retrieval,US-5.2,EPIC-5,api_specifications.yaml#/api/conversations,conversation_histories,title + updated_at,app/api/routes/chat.py,get_conversation_history(),T020,-,docs/demo_08.mp4
FR-6.1,Admin can manage documents,US-6.1,EPIC-6,api_specifications.yaml#/api/admin/documents,documents,customer_id,app/api/routes/admin.py,get_all_documents(),T043,-,docs/demo_09.mp4
FR-6.2,Admin can view audit logs,US-6.2,EPIC-6,api_specifications.yaml#/api/admin/audit-logs,audit_logs,action + entity_type + details,app/api/routes/admin.py,get_audit_logs(),T044,Notification Agent,docs/demo_09.mp4
FR-6.3,Admin can generate reports,US-6.1,EPIC-6,api_specifications.yaml#/api/admin,-,-,app/api/routes/admin.py,generate_usage_report(),T043,-,docs/demo_09.mp4
NFR-1,Response time < 2 seconds,US-2.1,EPIC-2,data_dictionary.md#Indexes,embeddings (indexed),chroma_vector_id,app/rag/retriever.py,retrieve_relevant_chunks(),T038,Knowledge Retriever Agent,docs/perf_01.mp4
NFR-2,System supports 1000 concurrent users,-,EPIC-5,deployment_architecture.md,-,-,app/main.py,"FastAPI async worker config",T042,Supervisor Agent,docs/load_test.mp4
NFR-3,Data encryption at rest,-,EPIC-6,security_architecture.md,all tables,all columns,app/config/settings.py,configure_encryption(),T033,-,docs/security_audit.pdf
BR-1,Only authenticated users can access,-,EPIC-1/EPIC-5,security_architecture.md,customers,hashed_password,app/api/security.py,verify_token(),T034,-,docs/demo_09.mp4
BR-2,Users access only their own documents,US-1.3,EPIC-1,security_architecture.md,documents,customer_id,app/api/routes/documents.py,query_documents(),T033,-,docs/demo_02.mp4
BR-3,AI recommendations require confidence scores,US-4.2,EPIC-4,validation_rules.yaml,recommendations,confidence_score,app/agents/recommendation_agent.py,calculate_confidence(),T030,Recommendation Agent,docs/demo_07.mp4
BR-4,Audit logs track all access,US-6.2,EPIC-6,error_handling.yaml,audit_logs,action,app/middleware/audit.py,log_action(),T044,-,docs/demo_09.mp4
BR-5,Conflicts require manual review before action,US-3.2,EPIC-3,workflow_state_machines.yaml#ConflictLifecycle,conflicts,resolved,app/agents/conflict_detector_agent.py,-,T029,Conflict Detector Agent,docs/demo_05.mp4
VR-1.1,File extension allow-list enforced,US-1.1,EPIC-1,validation_rules.yaml#DocumentUpload,documents,file_type,app/api/routes/documents.py,validate_upload(),T006,-,docs/demo_01.mp4
VR-1.2,File size 0 < size <= 52428800,US-1.1,EPIC-1,validation_rules.yaml#DocumentUpload,documents,file_size,app/api/routes/documents.py,validate_upload(),"T007,T008",-,docs/demo_01.mp4
VR-2.1,Query length 1-2000 chars,US-2.1,EPIC-2,validation_rules.yaml#UserQuery,chat_messages,message_text,app/rag/prompt_injection_filter.py,validate_query(),T018,-,docs/demo_03.mp4
VR-2.2,Query scanned for injection patterns,US-2.1,EPIC-2,validation_rules.yaml#UserQuery,chat_messages,message_text,app/rag/prompt_injection_filter.py,detect_injection(),T019,-,docs/demo_03.mp4
